Offense,Race,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Burglary,Black,1287.4,1282.3,1235.5,1063.2,903.3,917.0,913.6,864.4,855.8,807.4,742.6,720.4,735.1,705.9,728.2,695.3,631.5,617.6,544.0,473.5,446.9,416.1,407.0,399.5,394.8,418.7,448.7,460.4,510.9,491.3,423.1,428.0,382.6,318.4,308.0,272.1
Larceny-theft,Black,2730.1,2798.9,2934.8,2831.2,2848.3,2887.3,2870.9,2803.3,2876.5,2751.1,2652.1,2682.4,2560.1,2591.0,2895.8,2822.9,2590.7,2575.2,2177.0,1933.2,1854.1,1777.2,1637.2,1568.4,1537.3,1426.2,1392.4,1577.1,1757.9,1787.3,1605.4,1531.2,1426.8,1253.0,1185.3,1034.4
Motor vehicle theft,Black,340.1,282.9,254.8,244.2,267.9,353.6,495.8,589.3,785.4,911.6,838.4,807.4,789.0,786.8,754.2,657.2,554.7,482.1,363.5,375.5,381.5,358.2,336.2,318.7,280.1,288.7,254.7,215.8,195.5,151.0,118.7,106.2,94.2,93.3,109.3,127.4
Arson,Black,27.6,27.9,28.5,25.9,26.4,25.5,26.1,25.9,31.5,29.4,32.2,32.8,32.3,36.3,43.0,40.1,35.7,39.7,31.3,30.9,29.9,28.6,27.1,24.8,25.8,25.8,25.3,25.9,22.4,19.3,17.9,22.8,20.6,16.0,14.4,11.3
Other assaults,Black,615.7,619.8,684.6,708.4,683.0,804.6,873.4,1005.4,1126.4,1280.3,1269.2,1410.2,1421.6,1513.6,1602.8,1643.6,1650.3,1670.1,1538.6,1473.4,1469.4,1532.4,1516.4,1584.7,1661.1,1686.7,1656.6,1628.8,1578.3,1512.4,1421.3,1322.7,1233.8,1098.5,1045.8,940.9
Vandalism,Black,332.5,362.9,364.9,365.0,392.5,436.9,417.2,429.1,469.4,503.9,532.2,544.8,539.0,526.4,536.7,509.6,485.9,471.9,423.3,358.4,346.2,339.5,327.1,339.9,323.8,353.9,380.2,361.2,347.8,305.5,270.3,262.9,248.6,206.3,209.5,206.0
"Weapons carrying, possessing",Black,158.5,182.0,181.3,179.1,192.6,203.6,224.9,240.1,331.4,369.5,347.0,431.3,469.6,499.9,477.4,418.0,361.3,348.0,284.1,251.4,222.7,226.0,204.3,226.9,238.3,288.2,297.2,282.8,263.0,223.2,201.4,189.3,167.6,142.8,151.3,144.7
Drug abuse violations,Black,336.8,332.1,363.3,342.8,388.5,478.7,540.7,696.9,1033.9,1270.7,935.0,975.4,1006.2,1091.4,1277.3,1491.7,1506.8,1421.5,1283.7,1117.2,1060.9,991.3,894.1,930.4,931.9,970.0,1006.9,978.5,850.7,765.2,723.7,624.2,598.7,523.7,474.3,396.1
Driving under the influence,Black,19.5,16.8,20.2,17.7,15.3,15.9,20.5,15.8,20.3,15.7,16.5,18.5,18.1,16.5,19.2,19.0,21.0,21.8,23.5,22.4,18.8,16.3,16.6,14.0,12.7,12.2,12.0,13.7,12.1,12.1,12.2,9.9,8.7,7.4,7.6,7.2
Liquor laws,Black,76.2,84.8,102.6,94.7,84.7,97.9,118.5,119.3,136.8,143.3,157.1,165.8,146.6,135.3,134.4,142.6,173.4,164.6,171.5,146.0,131.5,111.0,113.4,100.4,100.6,101.0,115.0,121.5,127.1,119.3,118.1,108.2,99.9,83.4,71.4,53.0
Drunkenness,Black,41.2,38.1,46.1,43.1,38.9,31.9,47.5,34.0,36.6,43.5,54.8,46.9,41.1,34.7,41.9,40.8,42.9,41.4,35.4,30.4,29.4,28.1,25.1,26.9,23.2,22.8,22.7,22.4,22.1,21.7,19.2,19.8,16.2,12.6,11.5,9.2
Disorderly conduct,Black,669.1,820.5,1046.6,753.5,597.9,612.6,630.9,722.7,894.0,952.8,889.7,1027.1,1043.1,1113.9,1203.7,1286.3,1501.5,1421.4,1136.3,1026.6,1009.2,1101.5,1199.7,1242.8,1288.6,1404.0,1431.7,1424.1,1341.7,1239.3,1123.3,1025.2,934.8,782.5,654.9,553.4
Curfew and loitering law violations,Black,263.8,570.5,592.0,479.0,536.8,440.2,428.1,514.6,417.0,435.4,399.2,436.6,414.8,382.7,557.5,642.7,905.5,995.3,939.5,785.8,695.4,682.9,736.1,738.0,773.9,877.5,971.5,835.9,797.9,735.2,646.7,496.8,507.7,464.4,455.4,367.5
Runaways,Black,467.9,653.4,425.6,363.3,413.8,483.7,507.9,520.9,566.2,583.6,661.3,683.2,673.5,653.1,987.9,957.8,657.3,679.3,563.0,501.1,461.0,451.8,408.4,439.2,444.0,438.2,478.7,481.7,509.5,443.1,n/a,n/a,n/a,n/a,n/a,n/a
All crimes,American Indian,6798.5,5524.0,5825.0,5067.9,5059.7,5818.8,5631.7,6129.8,6395.0,6623.1,6576.5,6507.5,6407.9,7049.0,7639.1,8119.7,8423.9,8318.2,6562.5,6344.1,5687.2,5028.3,5265.9,4935.4,4630.0,4683.6,4397.1,4307.4,3826.5,3677.3,3348.0,3296.5,3053.5,2643.5,2359.1,2605.7
Violent Crime,American Indian,204.9,160.1,203.8,160.6,152.1,182.2,174.2,183.5,217.6,216.1,223.2,226.9,248.1,281.4,322.1,327.0,288.0,264.7,247.3,225.0,200.0,173.9,182.0,158.1,156.4,155.3,173.7,146.0,118.1,118.8,114.2,104.7,94.0,n/a,n/a,n/a
Murder and nonnegligent manslaughter,American Indian,4.5,2.5,8.2,4.7,3.1,1.9,5.9,6.9,4.2,4.7,4.1,6.1,3.7,5.7,5.6,8.2,4.8,2.8,13.2,5.3,2.3,6.9,4.9,2.5,1.8,4.5,1.4,3.6,1.1,1.7,0.8,1.0,2.0,2.0,1.1,1.1
Forcible rape,American Indian,16.9,6.4,16.5,12.2,15.0,13.4,11.7,8.5,11.0,14.9,13.8,9.7,19.6,13.7,21.8,10.0,13.6,11.2,14.4,12.3,9.1,6.7,10.8,12.4,10.6,7.3,7.5,5.8,4.7,3.9,4.5,2.8,5.2,n/a,n/a,n/a
Robbery,American Indian,54.5,49.0,48.9,44.8,32.6,37.9,40.3,41.0,45.7,43.2,40.9,59.6,58.2,56.7,71.3,77.5,61.1,60.2,44.7,43.3,38.7,25.6,24.3,24.5,17.4,25.0,28.2,27.8,20.5,23.5,21.1,17.3,18.9,12.7,18.1,13.0
Aggravated assault,American Indian,128.9,102.1,130.2,98.9,101.4,129.0,116.4,127.1,156.7,153.2,164.4,151.5,166.7,205.3,223.5,231.4,208.5,190.5,175.0,164.2,149.9,134.8,142.1,118.7,126.5,118.6,136.5,108.8,91.7,89.6,87.8,83.5,67.8,61.0,53.8,72.3
Property Crime Index,American Indian,2671.7,2180.9,2312.3,2082.3,2284.3,2549.4,2480.5,2436.4,2659.6,2834.6,2564.3,2608.6,2392.4,2549.0,2581.8,2590.3,2697.3,2532.9,1962.1,1739.0,1579.6,1358.6,1260.8,1231.0,1134.7,1019.7,848.1,897.3,821.5,835.6,738.1,721.9,651.3,600.4,542.3,502.9
Burglary,American Indian,685.5,586.7,598.1,461.2,482.6,496.3,461.3,502.1,530.2,534.3,507.2,554.3,446.1,503.3,491.4,468.7,475.3,420.5,336.9,272.1,235.3,223.9,195.4,207.7,181.9,143.9,164.1,147.8,120.0,110.0,85.4,86.9,77.4,69.1,61.1,74.2
Larceny-theft,American Indian,1714.7,1383.5,1512.7,1466.3,1612.1,1825.4,1773.9,1674.1,1862.9,1934.6,1762.2,1749.9,1662.0,1731.3,1755.2,1758.7,1914.4,1820.0,1421.8,1298.8,1174.6,986.4,932.8,890.8,842.5,772.5,601.8,661.9,638.1,662.4,608.1,599.7,537.8,494.3,451.2,377.9
Motor vehicle theft,American Indian,253.6,188.1,180.4,137.0,161.9,197.1,229.4,237.8,241.5,340.7,270.9,283.1,261.5,289.3,301.8,332.4,279.8,274.3,177.9,147.7,150.6,127.9,118.7,117.6,95.2,88.7,69.1,76.8,52.5,51.3,36.3,29.3,31.7,27.9,23.3,38.2
Arson,American Indian,17.8,22.6,21.2,17.8,27.6,30.6,16.0,22.4,25.0,25.0,24.1,21.2,22.8,25.0,33.5,30.5,27.9,18.2,25.5,20.4,19.1,20.3,13.8,14.9,15.0,14.7,13.0,10.9,11.0,11.9,8.3,6.0,4.5,9.0,6.7,12.6
Other assaults,American Indian,265.7,252.8,238.3,227.8,217.7,262.4,267.8,283.7,354.6,401.1,443.5,430.0,494.0,584.8,663.5,661.3,681.4,735.8,596.5,602.2,581.4,547.9,519.8,469.1,472.4,510.8,494.3,436.8,386.0,396.2,366.3,372.8,333.4,304.8,268.4,288.9
Vandalism,American Indian,315.5,236.5,245.8,222.5,226.8,280.1,285.1,290.5,297.0,306.7,370.3,334.9,368.3,411.1,437.7,448.5,441.0,414.3,322.8,345.8,279.9,247.9,244.8,253.2,229.9,233.4,228.3,244.6,216.3,181.5,158.8,150.2,135.0,107.2,104.2,110.3
"Weapons carrying, possessing",American Indian,73.2,60.7,44.9,35.9,38.2,50.8,47.0,50.4,49.1,60.6,55.9,71.4,95.2,105.3,130.8,133.9,125.0,119.7,81.4,89.7,65.4,61.3,57.0,51.2,65.2,63.6,69.2,59.7,50.5,45.5,37.6,36.5,31.8,28.6,23.3,29.4
Drug abuse violations,American Indian,203.0,171.4,184.2,143.9,156.7,156.6,123.3,141.2,166.2,168.5,111.2,86.5,111.2,153.6,233.6,334.0,380.2,399.5,378.4,360.9,318.8,329.6,308.4,330.2,300.7,325.7,289.5,298.9,254.9,272.7,303.3,283.9,272.1,258.2,260.6,293.1
Driving under the influence,American Indian,136.2,124.5,129.8,111.7,92.6,111.7,109.2,101.1,115.3,103.7,102.7,86.9,95.5,88.8,64.9,80.4,90.4,88.8,99.7,94.7,75.8,75.4,78.4,67.2,60.7,58.1,61.4,57.4,51.1,42.8,33.8,34.5,27.1,24.1,22.0,38.8
Liquor laws,American Indian,626.6,755.4,880.4,753.8,583.2,796.6,687.9,1014.7,842.7,835.3,1047.0,983.3,870.9,834.3,857.0,993.7,1084.0,1063.4,804.3,856.2,732.8,591.3,751.5,710.1,607.7,617.3,678.4,665.8,618.7,581.4,491.8,489.3,414.1,366.7,280.2,290.1
Drunkenness,American Indian,394.1,342.8,350.5,230.4,195.2,158.5,182.8,148.0,164.3,165.0,130.4,114.3,101.0,81.7,97.1,120.1,133.8,111.7,176.2,55.5,91.1,78.1,69.9,68.5,59.9,62.1,50.4,62.7,60.7,45.7,46.9,46.5,36.5,29.5,26.6,58.3
Disorderly conduct,American Indian,422.5,248.1,231.2,231.7,179.8,189.3,204.1,214.9,280.7,247.1,273.3,257.3,281.3,327.0,427.1,429.5,494.4,528.8,338.2,409.3,295.6,306.9,449.2,376.8,406.7,456.7,443.0,367.7,308.8,293.7,272.2,265.6,241.1,188.4,173.9,228.6
Curfew and loitering law violations,American Indian,407.5,204.8,207.0,201.0,213.7,272.2,234.7,386.9,240.8,226.6,267.8,226.0,262.5,370.6,427.3,530.1,565.9,617.0,475.5,450.4,434.3,284.0,308.4,201.0,171.5,219.1,208.6,218.3,177.9,184.2,166.9,176.9,179.1,121.0,97.0,87.2
Runaways,American Indian,732.1,439.9,421.1,428.0,511.8,544.1,606.7,548.6,765.2,683.1,732.2,593.9,634.7,692.0,588.5,602.2,573.7,556.4,410.2,392.7,447.0,331.8,332.5,392.0,349.2,362.1,370.2,367.7,352.3,349.9,n/a,n/a,n/a,n/a,n/a,n/a
All crimes,Asian,2820.1,2717.9,2707.1,2361.9,2259.2,2570.8,2485.6,2798.6,3223.8,2104.6,2977.5,3102.7,3056.0,3164.7,3455.2,3284.4,3515.0,3301.9,2637.4,2395.7,2197.0,1974.9,2129.8,1994.4,1809.4,1596.5,1660.0,1650.7,1613.0,1459.6,1293.0,1113.7,1154.7,674.8,606.6,657.1
Violent Crime,Asian,118.5,98.8,105.8,89.3,81.8,81.8,81.1,85.6,113.6,108.7,128.5,143.2,146.0,156.8,180.7,175.3,185.4,163.2,136.3,121.2,111.8,99.3,92.2,83.8,72.6,67.1,74.0,69.2,63.1,59.1,46.0,40.7,46.6,n/a,n/a,n/a
Murder and nonnegligent manslaughter,Asian,2.2,3.7,3.5,2.0,1.1,1.8,3.3,3.2,3.8,3.4,3.5,4.1,3.2,4.1,5.1,4.5,6.3,4.4,3.8,2.5,2.2,4.0,1.5,2.0,1.0,0.8,1.0,0.9,0.9,0.6,0.4,0.2,0.1,0.4,0.4,0.1
Forcible rape,Asian,7.2,1.9,5.3,3.6,2.7,3.3,3.8,3.5,4.2,3.8,5.3,5.1,5.3,3.3,4.6,3.9,3.6,3.5,3.3,4.4,1.9,3.1,3.0,2.4,2.2,1.6,1.8,2.2,1.1,2.1,1.1,1.3,1.6,n/a,n/a,n/a
Robbery,Asian,66.8,55.4,59.9,49.9,43.8,37.9,32.1,37.9,48.7,42.0,46.8,61.7,65.1,66.7,75.3,74.1,84.3,57.5,43.2,37.6,37.1,32.1,32.4,25.8,23.7,24.0,25.7,25.8,24.4,22.0,17.5,16.6,18.5,8.4,9.2,12.4
Aggravated assault,Asian,42.3,37.7,37.1,33.8,34.2,38.8,41.9,41.1,56.9,59.5,72.9,72.3,72.4,82.7,95.6,92.7,91.2,97.8,85.9,76.7,70.6,60.0,55.3,53.6,45.8,40.7,45.4,40.3,36.7,34.3,27.0,22.7,26.5,17.7,19.4,19.0
Property Crime Index,Asian,1525.8,1358.6,1281.7,1052.0,914.1,1058.8,1043.8,1198.4,1409.4,972.3,1215.9,1262.1,1218.8,1226.3,1257.6,1236.8,1290.0,1200.0,911.6,813.7,712.8,617.3,644.1,576.4,539.0,442.3,433.5,430.9,423.2,427.9,369.5,316.7,325.2,200.6,169.2,179.4
Burglary,Asian,328.2,308.1,288.7,212.4,172.3,198.2,185.4,199.1,247.9,173.4,203.4,228.9,219.5,188.3,171.0,165.4,173.9,170.6,136.9,116.6,95.0,80.6,81.9,73.3,61.7,48.1,58.9,51.4,54.9,42.6,39.9,35.1,40.2,27.4,23.8,22.1
Larceny-theft,Asian,1043.0,944.7,900.3,755.0,671.7,776.8,762.3,858.9,979.1,643.4,836.1,862.7,847.3,869.3,934.8,919.8,957.0,903.1,685.0,600.5,540.1,473.8,491.3,434.2,423.0,349.0,321.5,341.0,340.0,364.3,313.7,268.8,270.6,165.0,136.8,149.1
Motor vehicle theft,Asian,146.4,98.5,86.2,78.5,61.8,76.1,91.4,129.9,171.2,149.0,168.8,159.3,141.8,157.9,142.0,141.7,150.3,115.0,82.4,90.3,71.5,56.3,65.7,64.1,47.4,39.0,44.7,31.6,22.2,16.6,12.2,9.4,11.3,6.0,6.2,6.8
Arson,Asian,8.2,7.3,6.4,6.1,8.4,7.6,4.7,10.5,11.2,6.5,7.6,11.2,10.1,10.7,9.8,9.9,8.8,11.2,7.3,6.3,6.3,6.6,5.2,4.8,6.9,6.2,8.4,6.9,6.2,4.4,3.8,3.4,3.1,2.2,2.4,1.5
Other assaults,Asian,158.6,155.2,150.3,157.8,125.4,144.9,149.9,178.8,218.6,127.5,253.9,251.3,236.4,257.8,268.2,259.2,282.2,252.9,226.6,207.2,196.5,188.8,205.6,197.7,196.9,173.6,167.8,157.5,158.8,138.9,134.6,110.9,113.4,66.3,64.5,75.2
Vandalism,Asian,103.2,88.8,93.3,83.5,89.1,121.5,122.4,132.7,143.5,98.3,151.0,163.2,144.4,191.6,221.6,172.2,160.7,139.2,111.5,104.5,95.1,81.5,88.0,80.3,77.4,74.2,91.7,92.4,84.6,61.9,48.0,43.1,36.8,21.2,21.7,26.8
"Weapons carrying, possessing",Asian,43.8,42.1,30.3,28.6,33.3,37.7,37.9,45.7,57.7,46.3,60.4,71.2,68.7,76.4,89.2,73.4,67.2,67.2,48.0,51.4,42.1,36.4,32.8,42.3,36.6,34.7,36.7,33.3,27.2,24.2,22.0,19.9,23.3,17.5,15.3,16.4
Drug abuse violations,Asian,101.9,125.1,124.9,125.1,120.2,142.2,84.4,93.5,87.9,48.8,55.1,59.9,67.5,76.9,111.4,143.6,159.1,161.7,145.5,136.5,140.9,152.2,146.6,128.9,114.4,114.1,111.5,112.2,108.0,114.3,110.6,108.2,118.5,79.2,77.2,70.6
Driving under the influence,Asian,11.4,17.7,15.7,12.7,13.4,17.4,13.1,14.4,15.9,7.0,11.3,12.8,8.2,10.6,11.4,12.3,17.2,16.0,17.2,17.9,13.6,12.7,13.8,13.4,15.4,11.2,14.3,11.2,11.9,9.9,10.2,6.9,7.0,5.9,6.1,6.0
Liquor laws,Asian,73.4,69.6,70.0,71.4,75.8,94.5,95.1,93.6,102.8,89.5,102.1,96.8,67.3,63.1,85.6,86.4,108.4,107.7,94.3,87.7,65.3,60.2,97.9,98.5,97.5,75.4,105.8,98.3,91.3,84.6,77.1,62.5,66.3,41.5,35.4,30.9
Drunkenness,Asian,15.8,13.8,11.1,10.3,8.6,7.4,9.2,8.1,9.0,8.4,8.1,6.7,9.6,6.5,6.3,9.6,12.2,12.0,11.5,9.9,10.5,8.4,9.0,9.2,8.7,8.6,9.0,8.2,6.3,6.4,5.3,5.8,7.5,6.0,5.1,3.7
Disorderly conduct,Asian,45.1,56.5,60.4,43.7,37.1,43.3,44.0,48.5,70.2,67.5,84.8,87.0,89.2,82.5,112.7,107.0,153.3,161.9,120.6,99.4,92.9,97.3,108.0,116.0,106.9,102.0,103.5,91.2,87.6,80.4,68.7,56.6,53.1,37.0,29.2,30.4
Curfew and loitering law violations,Asian,85.3,99.4,107.9,81.3,134.7,159.4,162.6,161.5,169.2,103.3,181.7,171.4,163.0,200.3,231.9,211.0,262.6,214.2,170.5,157.9,213.2,150.3,152.0,126.2,121.7,106.9,106.6,107.4,102.0,79.8,72.8,63.7,64.9,40.8,35.6,31.1
Runaways,Asian,303.8,261.0,269.0,203.3,265.0,288.0,288.4,278.9,331.5,180.7,373.0,412.9,518.2,529.7,596.6,624.2,583.8,492.5,385.0,359.1,381.4,373.4,431.5,399.6,333.1,284.5,341.0,331.3,319.0,299.3,n/a,n/a,n/a,n/a,n/a,n/a
